Constituency,SN,Candidate,Party,Votes
Challakere,3,T. RAGHUMURTHY,Indian National Congress,67952
Challakere,4,RAVISH KUMAR.M,Janata Dal (Secular),51502
Challakere,5,C. BHOJARAJA,Karnataka Rashtra Samithi,1139
Challakere,6,ANJAMMA,Independent,715
Challakere,7,K.T. KUMAR SWAMY,Independent,29148
Challakere,8,NOTA,None of the Above,1639
Chitradurga,1,B.E.JAGADISH,Aam Aadmi Party,1348
Chitradurga,2,G.H.THIPPA REDDY,Bharatiya Janata Party,68721
Chitradurga,3,PRAKASH.N,Bahujan Samaj Party,370
Chitradurga,4,G.RAGHU ACHAR,Janata Dal (Secular),5021
Chitradurga,5,K.C.VEERENDRA PUPPY,Indian National Congress,122021
Chitradurga,6,M.T.CHANDRANNA,Karnataka Rashtra Samithi,508
Chitradurga,7,G.S.NAGARAJA,Karnataka Swabhimani Raithara Karmikara Party,93
Chitradurga,8,N.MANJAPPA,Samajwadi Party,91
Chitradurga,9,K.S.VIJAYA,Sarvodaya Karnataka Paksha,107
Chitradurga,10,BALE KAI SRINIVASA H,Social Democratic Party Of India,2555
Chitradurga,11,GANESH,Independent,149
Chitradurga,12,R.GOPINATH,Independent,217
Chitradurga,13,G.CHITRASHEKARAPPA,Independent,98
Chitradurga,14,P.S.PUTTASWAMY (SWAMY),Independent,146
Chitradurga,15,M.A.BASAVARAJU,Independent,202
Chitradurga,16,BHUTHARAJA.V.S.,Independent,399
Chitradurga,17,MOHAN KUMAR R,Independent,130
Chitradurga,18,M.H.SHASHIDHAR,Independent,313
Chitradurga,19,SURESH N,Independent,94
Chitradurga,20,SOUBHAGYA BASAVARAJAN,Independent,223
Chitradurga,21,DR|| H.K.S.SWAMY,Independent,405
Chitradurga,22,NOTA,None of the Above,695
Hiriyur,1,K T THIPPESWAMY,Aam Aadmi Party,1407
Hiriyur,2,K.POORNIMA,Bharatiya Janata Party,61728
Hiriyur,3,M.RAVEENDRAPPA,Janata Dal (Secular),38686
Hiriyur,4,N RANGASWAMY,Bahujan Samaj Party,935
Hiriyur,5,D.SUDHAKAR,Indian National Congress,92050
Hiriyur,6,E PATHALINGAPPA,Uttama Prajaakeeya Party,1103
Hiriyur,7,B.PUTTALINGAPPA,Republican Party of India (Athawale),851
Hiriyur,8,H.MAHESH,Kalyana Rajya Pragathi Paksha,1520
Hiriyur,9,VINAY S,Karnataka Rashtra Samithi,269
Hiriyur,10,RANGAIAH.S,Independent,238
Hiriyur,11,N.O.RANGASWAMY,Independent,219
Hiriyur,12,B.SHASHIKALA,Independent,319
Hiriyur,13,NOTA,None of the Above,691
Hosadurga,1,B. G. GOVINDAPPA,Indian National Congress,81050
Hosadurga,2,THIPPESWAMY. M,Janata Dal (Secular),1914
Hosadurga,3,THIMMAPPA.K,Bahujan Samaj Party,236
Hosadurga,4,RAJU. N.V,Aam Aadmi Party,252
Hosadurga,5,S. LINGAMURTHY,Bharatiya Janata Party,48234
Hosadurga,6,TANU CHIKKANNA YADAV,Karnataka Rashtra Samithi,302
Hosadurga,7,SUNIL KUMAR.S. TUMBINAKERE,Uttama Prajaakeeya Party,571
Hosadurga,8,B. GEETHANJALI,Independent,136
Hosadurga,9,GULIHATTI D. SHEKHAR,Independent,10449
Hosadurga,10,D. PANDURANGA GARAG,Independent,1835
Hosadurga,11,T. MANJUNATH,Independent,20812
Hosadurga,12,SHEKHARA NAIK M.R,Independent,371
Hosadurga,13,M.S. SATHISH JANGAMA,Independent,388
Hosadurga,14,NOTA,None of the Above,1030
Holalkere,1,H.ANJANEYA,Indian National Congress,83050
Holalkere,2,S.R.INDRAJEET NAIK,Janata Dal (Secular),1576
Holalkere,3,M.CHANDRAPPA,Bharatiya Janata Party,88732
Holalkere,4,K.N.DODDOTTEPPA,Bahujan Samaj Party,562
Holalkere,5,MAHANTHESH.C.U.,Aam Aadmi Party,170
Holalkere,6,P.S.JAYAPPA,Samajwadi Party,131
Holalkere,7,H.PRAKASH,Jai Maha Bharath Party,87
Holalkere,8,M.S.RAGHUVEERA VARMA,Karnataka Rashtra Samithi,109
Holalkere,9,RAJU.E,Uttama Prajaakeeya Party,529
Holalkere,10,Dr||. JAYASIMHA LOKANATH,Independent,19727
Holalkere,11,MAHESH KUMAR M.P,Independent,327
Holalkere,12,MANJUNATHA SWAMY.T,Independent,654
Holalkere,13,HANUMANTHAPPA.D,Independent,266
Holalkere,14,NOTA,None of the Above,1159
Jagalur,1,MALLAPURA DEVARAJ,Janata Dal (Secular),1972
Jagalur,2,B.DEVENDRAPPA,Indian National Congress,50765
Jagalur,3,S.V.RAMACHANDRA,Bharatiya Janata Party,49891
Jagalur,4,G.SWAMY,Samajwadi Party,367
Jagalur,5,P.AJJAYYA,Independent,149
Jagalur,6,D.THIPPESWAMY,Independent,114
Jagalur,7,DIWAKARA.O,Independent,93
Jagalur,8,NAGARAJA.M,Independent,140
Jagalur,9,BHEEMAPPA.G.N,Independent,869
Jagalur,10,RAGHAVENDRA K R,Independent,685
Jagalur,11,H.P.RAJESH,Independent,49442
Jagalur,12,NOTA,None of the Above,1996
Harapanahalli,1,G Karunakara Reddy,Bharatiya Janata Party,56349
Harapanahalli,2,N KOTRESHI,Indian National Congress,44988
Harapanahalli,3,NAGARAJ H,Aam Aadmi Party,590
Harapanahalli,4,N M NOOR AHMED,Janata Dal (Secular),711
Harapanahalli,5,Edigar Karibasappa,Karnataka Rashtra Samithi,87
Harapanahalli,6,JAYANNA K,Karnataka Makkala Paksha,44
Harapanahalli,7,RAVI LAMBANI,Uttama Prajaakeeya Party,449
Harapanahalli,8,G KALIVEERAN GOUDA,Independent,85
Harapanahalli,9,B M GURUMURTHY,Independent,651
Harapanahalli,10,A T DADAKHALANDAR,Independent,93
Harapanahalli,11,RAVI NAIK B,Independent,142
Harapanahalli,12,LATHA,Independent,905
Harapanahalli,13,LATHA MALLIKARJUN,Independent,70194
Harapanahalli,14,SUMANTH KUMAR R S,Independent,721
Harapanahalli,15,SANGAVVA K UTTANGI,Independent,490
Harapanahalli,16,NOTA,None of the Above,926
Harihar,1,GANESHAPPA K DURGADA,Aam Aadmi Party,1488
Harihar,2,H S SHIVASHANKAR,Janata Dal (Secular),40580
Harihar,3,SRINIVASA N H (NANDIGAVI),Indian National Congress,59620
Harihar,4,D HANUMANTHAPPA,Bahujan Samaj Party,592
Harihar,5,B P HARISH,Bharatiya Janata Party,63924
Harihar,6,KRISHNA M,Uttama Prajaakeeya Party,697
Harihar,7,SANKETHRAJ S,Karnataka Pragnyavantha Janatha Party,98
Harihar,8,B S UJJANAPPA,Independent,140
Harihar,9,JAYAKUMARA T H,Independent,191
Harihar,10,PARASHURAMA M,Independent,226
Harihar,11,MURTHY H K,Independent,360
Harihar,12,NOTA,None of the Above,557
Davanagere North,1,LOKIKERE NAGARAJ,Bharatiya Janata Party,69547
Davanagere North,2,S.S.MALLIKARJUN.,Indian National Congress,94019
Davanagere North,3,BATHI SHANKAR,Janata Dal (Secular),935
Davanagere North,4,SHRIDHARA PATEELA C,Aam Aadmi Party,391
Davanagere North,5,CHANDRASHEKAR.B,Uttama Prajaakeeya Party,1143
Davanagere North,6,K.MALLANNA,Karnataka Rashtra Samithi,139
Davanagere North,7,SURJEETH.G.,Sanyukt Vikas Party,49
Davanagere North,8,KEERTHI KUMAR.K.S,Independent,68
Davanagere North,9,MALLIKARJUNAPPA.K.M. GUMMANURU.,Independent,108
Davanagere North,10,MOHAMMED HAYATH.M.,Independent,80
Davanagere North,11,IDLI MANJU,Independent,125
Davanagere North,12,RUDRESHA. GOUDA KOGALUR,Independent,87
Davanagere North,13,M G SRIKANTH,Independent,281
Davanagere North,14,NOTA,None of the Above,919
Davanagere South,1,AJAY KUMAR. B.G,Bharatiya Janata Party,56410
Davanagere South,2,AMANULLA KHAN. J.,Janata Dal (Secular),1296
Davanagere South,3,MOHAMMAD KALEEM,Bahujan Samaj Party,293
Davanagere South,4,SHAMANUR SHIVASHANKARAPPA,Indian National Congress,84298
Davanagere South,5,SAJID.,Aam Aadmi Party,562
Davanagere South,6,ISMAIL ZABIULLA,Social Democratic Party Of India,1311
Davanagere South,7,ESHWARA,Uttama Prajaakeeya Party,522
Davanagere South,8,GOUSE PEER,Kalyana Rajya Pragathi Paksha,221
Davanagere South,9,H K DAVAL SAB,Karnataka Rashtra Samithi,57
Davanagere South,10,BHARATHI. K,Socialist Unity Centre Of India (COMMUNIST),121
Davanagere South,11,ERANNA.,Independent,66
Davanagere South,12,NOWSHIN. TAJ.,Independent,101
Davanagere South,13,B. RAJASHEKAR,Independent,233
Davanagere South,14,G. R. SHIVAKUMAR SWAMY,Independent,72
Davanagere South,15,SHEK AHAMAD,Independent,164
Davanagere South,16,NOTA,None of the Above,655
Mayakonda,1,ANANDAPPA. H.,Janata Dal (Secular),12915
Mayakonda,2,PROF. DHARMA NAIK. S.,Aam Aadmi Party,512
Mayakonda,3,K. S. BASAVANTHAPPA,Indian National Congress,70916
Mayakonda,4,M. BASAVARAJA NAIK,Bharatiya Janata Party,34630
Mayakonda,5,AJJAPPA. N,Republican Party of India (Athawale),445
Mayakonda,6,CHETHAN KUMAR NAIK. K.,Uttama Prajaakeeya Party,1235
Mayakonda,7,SHANTHA BAI,Kalyana Rajya Pragathi Paksha,223
Mayakonda,8,SOMASHEKHARA. B. ADVOCATE,Karnataka Rashtra Samithi,210
Mayakonda,9,A. K. Ganesh,Independent,610
Mayakonda,10,B.M. PUSHPA VAGEESHASWAMY,Independent,37614
Mayakonda,11,MANJU MADIGA,Independent,194
Mayakonda,12,LOKESHA. P. D.,Independent,586
Mayakonda,13,P. R. Srinivas,Independent,438
Mayakonda,14,SAVITHA BAI MALLESHANAIK,Independent,544
Mayakonda,15,NOTA,None of the Above,718
Channagiri,1,ADIL KHAN S K,Aam Aadmi Party,245
Channagiri,2,TEJASWI. V. PATEL.,Janata Dal (Secular),1216
Channagiri,3,PRAVEENA. H.,Bahujan Samaj Party,523
Channagiri,4,BASAVARAJU V SHIVAGANGA,Indian National Congress,78263
Channagiri,5,H. S. SHIVAKUMAR,Bharatiya Janata Party,21467
Channagiri,6,CHANDRASHEKHARA.CHANNAGIRI.,Uttama Prajaakeeya Party,1017
Channagiri,7,DONIHALLI MANJUNATHA GOWDRU,Karnataka Rashtra Samithi,198
Channagiri,8,M. ROOPA KAGATURU,Kalyana Rajya Pragathi Paksha,183
Channagiri,9,KUBENDRA SWAMY. T,Independent,437
Channagiri,10,MADAL MALLIKARJUNA,Independent,61828
Channagiri,11,HARISH HALLI.,Independent,470
Channagiri,12,NOTA,None of the Above,555
Honnali,1,KUNKOVA KRISHNAPPA,Bahujan Samaj Party,349
Honnali,2,NARASIMHAPPA .K,Aam Aadmi Party,234
Honnali,3,M.P. RENUKACHARYA,Bharatiya Janata Party,74832
Honnali,4,SHANTHANA GOWDA.D.G.,Indian National Congress,92392
Honnali,5,GANESHA B A,Uttama Prajaakeeya Party,945
Honnali,6,HANUMANTHAPPA. SORATUR.,Karnataka Rashtra Samithi,146
Honnali,7,DODDETTINAHALLI CHANDRASHEKHARAPPA,Independent,236
Honnali,8,LAKSHMIKANTHA. H.T.,Independent,176
Honnali,9,VASAPPA M,Independent,254
Honnali,10,NOTA,None of the Above,560
Shimoga Rural,1,K.B.ASHOK NAIK,Bharatiya Janata Party,71198
Shimoga Rural,2,MANJUNATHA.S.S,Aam Aadmi Party,1715
Shimoga Rural,3,SHARADA PURYANAIK,Janata Dal (Secular),86340
Shimoga Rural,4,A.D.SHIVAPPA,Bahujan Samaj Party,576
Shimoga Rural,5,Dr.SRINIVAS KARIYANNA,Indian National Congress,18335
Shimoga Rural,6,NIRANJANA.E,Karnataka Rashtra Samithi,327
Shimoga Rural,7,K.B.VIJAYA,Kalyana Rajya Pragathi Paksha,274
Shimoga Rural,8,Dr.THIPPERUDRASWAMY.T,Independent,130
Shimoga Rural,9,PRAVEEN NAIK,Independent,282
Shimoga Rural,10,BHEEMAPPA.B.H,Independent,395
Shimoga Rural,11,RANGASWAMY.L,Independent,223
Shimoga Rural,12,NOTA,None of the Above,1053
Bhadravati,1,ANANDA MARUTHI MEDICALS,Aam Aadmi Party,1387
Bhadravati,2,MANGOTE RUDRESH,Bharatiya Janata Party,21279
Bhadravati,3,SHARADA APPAJI,Janata Dal (Secular),63503
Bhadravati,4,B.K. SANAGAMESHWARA,Indian National Congress,66208
Bhadravati,5,BASAVARAJA P.E.,Republican Party of India (Karnataka),426
Bhadravati,6,SHASHIKUMAR GOWDA,Janata Dal (United),135
Bhadravati,7,SUMITHRA BAI,Karnataka Rashtra Samithi,239
Bhadravati,8,AHAMAD ALI,Independent,107
Bhadravati,9,JOHN BENNY,Independent,214
Bhadravati,10,B.N.RAJU,Independent,93
Bhadravati,11,MOHAN GOWDA M.TECH,Independent,104
Bhadravati,12,RAJASHEKAR.S,Independent,289
Bhadravati,13,SHASHIKUMAR. Y,Independent,379
Bhadravati,14,S.K. SUDHEENDRA,Independent,145
Bhadravati,15,NOTA,None of the Above,803
Shimoga,1,AAYANUR MANJUNATHA,Janata Dal (Secular),8863
Shimoga,2,CHANNABASAPPA (CHENNI),Bharatiya Janata Party,96490
Shimoga,3,NETRAVATHI T,Aam Aadmi Party,883
Shimoga,4,H C YOGESH,Indian National Congress,68816
Shimoga,5,RAJENDRA D,Karnataka Rashtra Samithi,311
Shimoga,6,VENKATESH R,Uttama Prajaakeeya Party,2370
Shimoga,7,AKKAMAHADEVI H M,Independent,70
Shimoga,8,AJAY KUMAR B S,Independent,51
Shimoga,9,ANIL M R,Independent,79
Shimoga,10,ADIGE GANESH H S,Independent,88
Shimoga,11,MOHAMMED YUSUF KHAN,Independent,72
Shimoga,12,RAVIKUMAR N,Independent,71
Shimoga,13,RIYAZ AHMED,Independent,171
Shimoga,14,SHEKARA NAIK,Independent,73
Shimoga,15,V HANUMASHETTY,Independent,196
Shimoga,16,NOTA,None of the Above,1225
Tirthahalli,1,ARAGA JNANENDRA,Bharatiya Janata Party,84563
Tirthahalli,2,KIMMANE RATNAKAR,Indian National Congress,72322
Tirthahalli,3,YADUR RAJARAM,Janata Dal (Secular),2710
Tirthahalli,4,SALUR SHIVAKUMAR GOWDA,Aam Aadmi Party,501
Tirthahalli,5,ARUNA KANAHALLI,Karnataka Rashtra Samithi,496
Tirthahalli,6,NOTA,None of the Above,1164
Shikaripura,1,CHANDRAKANTH S REVANAKAR,Aam Aadmi Party,276
Shikaripura,2,GONI MALATESH,Indian National Congress,8101
Shikaripura,3,VIJAYENDRA YEDIYURAPPA,Bharatiya Janata Party,81810
Shikaripura,4,YALLAPPA BAZARAPPA,Republican Party of India (Athawale),425
Shikaripura,5,RAVINAIK D,Karnataka Rashtra Samithi,164
Shikaripura,6,ANIL M.R.,Independent,115
Shikaripura,7,IMTIYAZ A ATTAR,Independent,2944
Shikaripura,8,GANESHA R,Independent,435
Shikaripura,9,S. P. NAGARAJAGOWDA,Independent,70802
Shikaripura,10,MOHAMMED SADIQ,Independent,969
Shikaripura,11,NOTA,None of the Above,688
Sorab,1,S. KUMARA BANGARAPPA,Bharatiya Janata Party,54650
Sorab,2,BASURU CHANDREGOWDRU,Janata Dal (Secular),6477
Sorab,3,CHANDRASHEKARA K.Y,Aam Aadmi Party,632
Sorab,4,MADHU BANGARAPPA,Indian National Congress,98912
Sorab,5,PARASHURAM.V.G,Samajwadi Party,586
Sorab,6,MANJUNATHA UPPALLI,Karnataka Rashtra Samithi,207
Sorab,7,LAKSHMIKANTH C S,Uttama Prajaakeeya Party,733
Sorab,8,L.G.GUDDAPPA MARURU,Independent,357
Sorab,9,J.S.CHIDANANDAGOWDA,Independent,226
Sorab,10,S. SHIVAYOGI,Independent,246
Sorab,11,NOTA,None of the Above,1010
Sagar,1,GOPALA KRISHNA BELURU,Indian National Congress,88988
Sagar,2,K DIWAKARA,Aam Aadmi Party,1040
Sagar,3,‌SYED ZAKEER,Janata Dal (Secular),350
Sagar,4,H.HALAPPA HARATHALU,Bharatiya Janata Party,72966
Sagar,5,KIRAN B E,Karnataka Rashtra Samithi,346
Sagar,6,SOMARAJA N,Uttama Prajaakeeya Party,602
Sagar,7,SHIVAKUMAR V PATIL,Independent,307
Sagar,8,T.N.SREENIVAS,Independent,263
Sagar,9,HARATE GAMAPPA MESTRU,Independent,240
Sagar,10,NOTA,None of the Above,1363
Byndoor,1,GURURAJ SHETTY GANTIHOLE,Bharatiya Janata Party,98628
Byndoor,2,K. GOPAL POOJARY,Indian National Congress,82475
Byndoor,3,MANSOOR IBRAHIM.,Janata Dal (Secular),841
Byndoor,4,CA. RAMANANDA PRABHU,Aam Aadmi Party,187
Byndoor,5,PRASAD. S,Uttama Prajaakeeya Party,626
Byndoor,6,KOLLUR MANJUNATHA. NAIK BE,Rashtriya Samaj Dal (R),171
Byndoor,7,CHANDRASHEKAR. G.,Independent,613
Byndoor,8,SHYAMA. B,Independent,296
Byndoor,9,H SURESH POOJRAI,Independent,638
Byndoor,10,NOTA,None of the Above,1208
Kundapura,1,A KIRAN KUMAR KODGI,Bharatiya Janata Party,102424
Kundapura,2,DINESH HEGDE MOLAHALLI,Indian National Congress,60868
Kundapura,3,RAMESH,Janata Dal (Secular),1053
Kundapura,4,ARUN DEEPAK MENDONCA,Uttama Prajaakeeya Party,1257
Kundapura,5,CHANDRASHEKAR G,Independent,728
Kundapura,6,NOTA,None of the Above,1141
Udupi,1,DAKSHATH. R. SHETTY,Janata Dal (Secular),845
Udupi,2,PRABHAKAR POOJARI (THOTTAM),Aam Aadmi Party,640
Udupi,3,PRASADRAJ KANCHAN,Indian National Congress,64303
Udupi,4,YASHPAL A SUVARNA,Bharatiya Janata Party,97079
Udupi,5,NITHIN.V.POOJARY,Uttama Prajaakeeya Party,1119
Udupi,6,RAMDAS BHAT,Karnataka Rashtra Samithi,323
Udupi,7,SHEKAR HAVANJE,Republican Party of India (Karnataka),435
Udupi,8,NOTA,None of the Above,1316
Kapu,1,GURME SURESH SHETTY,Bharatiya Janata Party,80559
Kapu,2,VINAY KUMAR SORAKE,Indian National Congress,67555
Kapu,3,SABINA SAMAD,Janata Dal (Secular),568
Kapu,4,S.R.LOBO,Aam Aadmi Party,252
Kapu,5,MOHAMMED HANEEF,Social Democratic Party Of India,1616
Kapu,6,NOTA,None of the Above,805
Karkal,1,UDAYA SHETTY MUNIYAL,Indian National Congress,72426
Karkal,2,DANIEL RANJAR,Aam Aadmi Party,556
Karkal,3,SRIKANTHA POOJARY KUCHCHUR,Janata Dal (Secular),281
Karkal,4,V SUNILL KUMAR,Bharatiya Janata Party,77028
Karkal,5,ARUN DEEPAK,Uttama Prajaakeeya Party,501
Karkal,6,PRAMOD MUTHALIK,Independent,4508
Karkal,7,DR. MAMATHA HEGDE,Independent,238
Karkal,8,VIDYALAXMI,Independent,151
Karkal,9,SUDHAKARA ACHARYA,Independent,233
Karkal,10,NOTA,None of the Above,921
Sringeri,1,K.M.GOPALA,Bahujan Samaj Party,818
Sringeri,2,D.N.JEEVARAJA.,Bharatiya Janata Party,58970
Sringeri,3,RAJAN GOWDA H.S.,Aam Aadmi Party,1150
Sringeri,4,T.D.RAJEGOWDA,Indian National Congress,59171
Sringeri,5,SUDHAKARA.S.SHETTY,Janata Dal (Secular),19417
Sringeri,6,COMRADE || UMESH B.A,Communist Party of India (Marxist-Leninist) Red Star,226
Sringeri,7,M.K. DAYANDA MAVINAKERE.,Proutist Sarva Samaj,114
Sringeri,8,ELIYAZ AHAMMAD,Independent,156
Sringeri,9,K.R KUSUMA,Independent,207
Sringeri,10,NARAYANA,Independent,233
Sringeri,11,G.BHARATHI.,Independent,217
Sringeri,12,ABRAHAM,Independent,223
Sringeri,13,NOTA,None of the Above,678
Mudigere,1,M.P.KUMARASWAMY,Janata Dal (Secular),26038
Mudigere,2,DEEPAK DODDAIAH,Bharatiya Janata Party,50121
Mudigere,3,NAYANA MOTAMMA,Indian National Congress,50843
Mudigere,4,PRABHU.C,Aam Aadmi Party,585
Mudigere,5,LOKAVALLI RAMESH,Bahujan Samaj Party,933
Mudigere,6,ANGADI CHANDRU,Social Democratic Party Of India,503
Mudigere,7,RAMESH KELAGUR,Communist Party of India,2785
Mudigere,8,CHETHAN PRASAD L,Independent,369
Mudigere,9,RUDRESH KAHALE,Independent,468
Mudigere,10,NOTA,None of the Above,1166
Chikmagalur,1,EREGOWDA. M.P,Aam Aadmi Party,524
Chikmagalur,2,H. D. THAMMAIAH,Indian National Congress,85054
Chikmagalur,3,B.M. THIMMA SHETTY,Janata Dal (Secular),1763
Chikmagalur,4,C. T. RAVI,Bharatiya Janata Party,79128
Chikmagalur,5,SUDHA.K.B,Bahujan Samaj Party,531
Chikmagalur,6,YATHISH.B.J.,Uttama Prajaakeeya Party,672
Chikmagalur,7,SHIVA PRAKASH,Karnataka Rashtra Samithi,104
Chikmagalur,8,AFZAL PASHA,Independent,82
Chikmagalur,9,C.K. JAGADEESHA.,Independent,107
Chikmagalur,10,NOORULLA KHAN,Independent,61
Chikmagalur,11,MUNIYAPPA,Independent,60
Chikmagalur,12,H.C. MULLAPPA SHETTY (HULIKERE PULIKESHI),Independent,109
Chikmagalur,13,MOHSINA,Independent,224
Chikmagalur,14,M.G. VIJAY KUMAR,Independent,143
Chikmagalur,15,SHASHIDHARA B.G,Independent,392
Chikmagalur,16,SYED ZABI,Independent,269
Chikmagalur,17,NOTA,None of the Above,849
Tarikere,1,G.H. SRINIVASA,Indian National Congress,63086
Tarikere,2,D.S. SURESH,Bharatiya Janata Party,50955
Tarikere,3,D.C. SURESHA,Aam Aadmi Party,419
Tarikere,4,K. GOVINDAPPA,Karnataka Rashtra Samithi,156
Tarikere,5,B.P.VIKAS,Uttama Prajaakeeya Party,548
Tarikere,6,KADLE BATTI ASHOKANNA,Independent,134
Tarikere,7,GOPIKRISHNA ALIAS GOPALA KRISHNA.B,Independent,415
Tarikere,8,H.M. GOPIKRISHNA HUNASAGATTA,Independent,35468
Tarikere,9,A.R.NAGARAJAPPA,Independent,173
Tarikere,10,C.M NANJUNDAPPA,Independent,69
Tarikere,11,DORANAL PARAMESH,Independent,1338
Tarikere,12,RAFEEQ AHAMAD.S,Independent,107
Tarikere,13,A.B. RAJKUMAR,Independent,219
Tarikere,14,A.R. SATHISHA,Independent,326
Tarikere,15,NOTA,None of the Above,736
Kadur,1,ANAND. K.S,Indian National Congress,75476
Kadur,2,Y.S.V. DATTA,Janata Dal (Secular),26837
Kadur,3,BELLI PRAKASH,Bharatiya Janata Party,63469
Kadur,4,RAJESHWARI B.H.,Aam Aadmi Party,787
Kadur,5,ANAND K.T,Sarvodaya Karnataka Paksha,282
Kadur,6,ANANDA NAIK. S.L,Karnataka Rashtra Samithi,166
Kadur,7,LOHITHA. G.T.,Uttama Prajaakeeya Party,576
Kadur,8,KOTE UMESH HOMBALE,Independent,109
Kadur,9,K.R. GANGADHARAPPA.,Independent,284
Kadur,10,H.R. SREENIVAS BHAGIRATHA,Independent,315
Kadur,11,NOTA,None of the Above,928
Chikkanayakanahalli,1,K S KIRAN KUMAR,Indian National Congress,50996
Chikkanayakanahalli,2,NINGARAJU S C,Aam Aadmi Party,1771
Chikkanayakanahalli,3,J C MADHU SWAMY,Bharatiya Janata Party,60994
Chikkanayakanahalli,4,C B SURESH BAABU,Janata Dal (Secular),71036
Chikkanayakanahalli,5,JAYARAM H R,Uttama Prajaakeeya Party,972
Chikkanayakanahalli,6,H T NAGARAJU,BhartiyaBahujanKranti Dal,163
Chikkanayakanahalli,7,DR. M K PASHA,All India Mahila Empowerment Party,133
Chikkanayakanahalli,8,MALLIKARJUNAIAH B S,Karnataka Rashtra Samithi,422
Chikkanayakanahalli,9,HANUMATHA RAM NAIK M B,Welfare Party Of India,119
Chikkanayakanahalli,10,GIRISH R HOYISALAKATTE,Independent,318
Chikkanayakanahalli,11,GANGADHARAIAH,Independent,432
Chikkanayakanahalli,12,NASEER BAIG M,Independent,282
Chikkanayakanahalli,13,CAPT SOMASHEKHAR,Independent,241
Chikkanayakanahalli,14,NOTA,None of the Above,778
Tiptur,1,T S Chandrashekhar,Aam Aadmi Party,640
Tiptur,2,B.C. Nagesh,Bharatiya Janata Party,54347
Tiptur,3,K T Shanthakumara,Janata Dal (Secular),26014
Tiptur,4,K Shadakshari,Indian National Congress,71999
Tiptur,5,Arun Linga,Kannada Deshada Paksha,424
Tiptur,6,Girish S B,Uttama Prajaakeeya Party,506
Tiptur,7,Gangadharaiah K S,Karnataka Rashtra Samithi,257
Tiptur,8,R M Mallikarjunaswamy,BhartiyaBahujanKranti Dal,132
Tiptur,9,Ananthashayana A T,Independent,130
Tiptur,10,T N Kumaraswamy,Independent,468
Tiptur,11,M Ravi,Independent,261
Tiptur,12,B N Vijayakumar,Independent,256
Tiptur,13,NOTA,None of the Above,635
Turuvekere,1,BML.KANTHRAJ,Indian National Congress,30536
Turuvekere,2,M.T.KRISHNAPPA,Janata Dal (Secular),68163
Turuvekere,3,MASALA JAYARAM,Bharatiya Janata Party,58240
Turuvekere,4,JAYARAM.G.C,Aam Aadmi Party,1018
Turuvekere,5,M.C.SRINIVAS,Bahujan Samaj Party,136
Turuvekere,6,H.B.PUTTAPPA,BhartiyaBahujanKranti Dal,85
Turuvekere,7,BHARATH.S,Uttama Prajaakeeya Party,724
Turuvekere,8,RAM PRASAD,Karnataka Rashtra Samithi,176
Turuvekere,9,HATTAIAH.N,Republican Party of India Bharatha,202
Turuvekere,10,KAPANIGOWDA,Independent,225
Turuvekere,11,NARAYANA,Independent,245
Turuvekere,12,NOTA,None of the Above,588
Kunigal,1,D KRISHNAKUMAR,Bharatiya Janata Party,48151
Kunigal,2,JAYARAMAIAH HITHALAPURA,Aam Aadmi Party,1672
Kunigal,3,DR RAVI NAGARAJAIAH,Janata Dal (Secular),46974
Kunigal,4,DR|| H D RANGANATH,Indian National Congress,74724
Kunigal,5,RAGHU JANAGERE,Karnataka Rashtra Samithi,1037
Kunigal,6,RAMESHA S B,Rashtriya Janahita Party,225
Kunigal,7,B T TIRUMALE GOWDA,Independent,303
Kunigal,8,B B RAMASWAMY GOWDA,Independent,561
Kunigal,9,NOTA,None of the Above,630
Tumkur City,1,IQBAL AHMED,Indian National Congress,46900
Tumkur City,2,N GOVINDARAJU,Janata Dal (Secular),55967
Tumkur City,3,G B JYOTHI GANESH,Bharatiya Janata Party,59165
Tumkur City,4,K B DINESH BABU,Bahujan Samaj Party,353
Tumkur City,5,MOHAMMED GHOUSE PEER,Aam Aadmi Party,664
Tumkur City,6,M V KALYANI,Socialist Unity Centre Of India (COMMUNIST),150
Tumkur City,7,GAJENDRA KUMAR GOWDA,Karnataka Rashtra Samithi,238
Tumkur City,8,T N RAJESH,Uttama Prajaakeeya Party,974
Tumkur City,9,KUMAR S,Independent,61
Tumkur City,10,DADA PEER,Independent,95
Tumkur City,11,NARASE GOWDA,Independent,75
Tumkur City,12,PRAKASH R A,Independent,100
Tumkur City,13,VEERESHA PRASAD R (GUBBI VEERANNA),Independent,258
Tumkur City,14,SOGADU SHIVANNA,Independent,8954
Tumkur City,15,NOTA,None of the Above,1131
Tumkur Rural,1,D.C.GOWRISHANKAR SWAMY,Janata Dal (Secular),84597
Tumkur Rural,2,DINESH KUMAR.B,Aam Aadmi Party,670
Tumkur Rural,3,G.H.SHANMUKHAPPA,Indian National Congress,4066
Tumkur Rural,4,B.SURESH GOWDA,Bharatiya Janata Party,89191
Tumkur Rural,5,V.A.ANAND,Karnataka Rashtra Samithi,461
Tumkur Rural,6,D.GOPALAKRISHNA,Socialist Party (India),88
Tumkur Rural,7,DINESH.T.N,Uttama Prajaakeeya Party,753
Tumkur Rural,8,NISSAR AHMED,Indian Movement Party,54
Tumkur Rural,9,ASHOKA.K.S.,Independent,80
